,dataset,5_60
0,Sorteria-100SOC-cell1,0.40297619047619043
1,Sorteria-100SOC-cell2,0.35357142857142854
2,Sorteria-Control-100SOC-cell1,0.39880952380952384
3,Sorteria-Control-100SOC-cell2,0.14880952380952384
4,LCO-LP-6400mAh-100SOC-cell1,0.38988095238095244
5,LCO-LP-6400mAh-100SOC-cell2,0.2910714285714286
6,LCO-LP-6400mAh-80SOC-Cell3,0.399404761904762
7,LCO-LP6400mAh-80SOC-cell4,0.5363095238095238
8,Soetria-80SOC-cell3,0.16845238095238094
9,Sorteria-Control-60SOC-cell1,0.544047619047619
10,Soetria-Control-45SOC-cell1,0.3095238095238096
11,Sorteria-control-40SOC-cell2,0.0
12,Sorteria-control-20SOC-cell1,0.0
13,Soteria-control-30SOC-cell2,0.0
14,Soteria-control-30SOC-cell1,0.0
15,Soteria-control-10SOC-cell1,0.0
16,Soteria-Control-0SOC-cell1,0.0
17,Soteria-SCC-90SOC-cell1,0.0
18,Soteria-SCC-80SOC-cell1,0.0
19,Soteria-SCC-60SOC-cell1,0.0
20,Soteria-SCC-20SOC-5180mAh,0.0
21,OE-LCO-6470mAh-60SOC,0.0
22,OE-LCO-6490mAh-60SOC,0.0
23,OE-LCO-6270mAh-40SOC,0.0
24,OE-LCO-6500mAh-20SOC,0.0
25,OE-LCO-6560mAh-0SOC,0.0
26,OE-LCO-6550mAh-20SOC,0.0
27,OE-LCO-6500mAh-40SOC,0.0
28,OE-LCO-6340mAh-0SOC,0.0
29,OE-LCO-6400mAh-20SOC,0.0
30,Soteria-SCC-5070-70SOC,0.0
31,OE-LFP10Ah-0SOC-cell9,0.0
32,OE-LFP10Ah-0SOC-cell10,0.0
33,OE-LFP10Ah-40SOC-cell7,0.0
34,OE-LFP10Ah-40SOC-cell8,0.0
35,OE-LFP10Ah-70SOC-cell5,0.0
36,OE-LFP10Ah-70SOC-cell6,0.0
37,OE-LFP10Ah-80SOC-cell3,0.0
38,OE-LFP10Ah-80SOC-cell4,0.0
39,OE-10Ahr-NMC-70SOC-cell7,0.0
40,OE-10Ahr-NMC-80SOC-cell8,0.0
41,OE-10Ahr-NMC-80SOC-Cell9,0.0
42,OE-10Ahr-NMC-100SOC-cell10,0.0
43,OE-10Ahr-NMC-100SOC-cell11,0.0
44,OE-LFP10Ah-100SOC-cell1,0.0
45,OE-LFP10Ah-100SOC-cell2,0.0
46,OE-LFP10Ah-100SOC-cell12,0.0
47,Soteria-Control-50SOC,0.0
48,Soteria-SCC-4160mAh-100SOC-8mm,0.0
49,OE-10Ahr-NMC-70SOC-cell6,0.0
50,OE-10AHr-NMC-40SOC-Cell4,0.0
51,OE-10Ahr-NMC-40SOC-cell1,0.0
52,OE-10Ahr-NMC-0SOC-cell1,0.0
53,OE-10Ahr-NMC-0SOC-cell2,0.0
54,OE-LFP10Ah-80SOC-Cell15,0.0
55,LFP10Ah-60SOC-Cell17,0.0
56,Soteria-SCC-4720mAh-40SOC,0.0
57,Soteria-SCC-4700mAh-100SOC-12mm,0.0
58,OE-LFP-cell14-60SOC-10Ah,0.0
59,OE-LFP10Ah-80SOC-cell13,0.0
60,OE-LFP10Ah-60SOC,0.0
61,500mAh1-20S0C,0.0
62,500mAh1-40S0C,0.0
63,500mAh1-60S0C,0.0
64,500mAh1-80S0C,0.0
65,500mAh1-100S0C,0.0
66,500mAh2-20S0C,0.0
67,500mAh2-40S0C,0.0
68,500mAh2-60S0C,0.0
69,500mAh2-80S0C,0.0
70,500mAh2-100S0C,0.0
71,500mAh3-20S0C,0.0
72,500mAh3-40S0C,0.0
73,500mAh3-60S0C,0.0
74,500mAh3-80S0C,0.0
75,500mAh3-100S0C,0.0
76,2000mAh1-20S0C,0.0
77,2000mAh1-40S0C,0.0
78,2000mAh1-60S0C,0.0
79,2000mAh1-80S0C,0.0
80,2000mAh1-100S0C,0.0
81,2000mAh2-20S0C,0.0
82,2000mAh2-40S0C,0.0
83,2000mAh2-60S0C,0.0
84,2000mAh2-80S0C,0.0
85,2000mAh2-100S0C,0.0
86,OE-NMC10Ah-60SOC,0.0
87,OE-NMC10Ah-50SOC,0.0
88,1500mAh1-20S0C,0.0
89,1500mAh1-40S0C,0.0
90,1500mAh1-60S0C,0.0
91,1500mAh1-80S0C,0.0
92,1500mAh1-100S0C,0.0
93,1500mAh2-20S0C,0.0
94,1500mAh2-40S0C,0.0
95,1500mAh2-60S0C,0.0
96,1500mAh2-80S0C,0.0
97,1500mAh2-100S0C,0.0
98,1500mAh3-20S0C,0.0
99,1500mAh3-40S0C,0.0
100,1500mAh3-60S0C,0.0
101,1500mAh3-80S0C,0.0
102,1500mAh3-100S0C,0.0
103,OE-NMC10Ah-45SOC,0.0
104,OE-NMC10Ah-20SOC,0.0
105,Soteria-SCC-5050mAhr-100SOC,0.0
106,Soteria-control-5100mAh-50SOC,0.0
107,OE-NMC10Ah-20SOC-cell2,0.0
108,OE-NMC10Ah-45SOC-cell2,0.0
109,OE-LFP10Ah-20SOC,0.0
110,Soteria-Control-5120mAh-50SOC,0.0
111,Soteria-Control-5100mAh-55SOC,0.0
112,Soteria-Control-5010mAh-20SOC,0.0
113,Soteria-Control-5030mAh-10SOC,0.0
114,Soteria-SCC-4870mah-0SOC,0.0
115,Soteria-SCC-4630mAh-10SOC,0.0
116,Soteria-SCC-5080mAh-20SOC,0.0
117,Soteria-SCC-5170mAh-60SOC,0.0
