"battery","TP","TN","FP","FN","total","algorithm"
"LCO",9,0,0,3,13,"conclusion_10_125"
"LFP",5,1,8,2,17,"conclusion_10_125"
"NMC",5,0,1,7,16,"conclusion_10_125"
"Rec",27,1,2,8,40,"conclusion_10_125"
"SO",8,10,5,9,32,"conclusion_10_125"
"LCO",10,0,0,2,13,"conclusion_10_60"
"LFP",7,0,9,0,17,"conclusion_10_60"
"NMC",9,0,1,3,16,"conclusion_10_60"
"Rec",34,0,3,1,40,"conclusion_10_60"
"SO",15,5,10,2,32,"conclusion_10_60"
"LCO",10,0,0,2,13,"conclusion_10_75"
"LFP",7,0,9,0,17,"conclusion_10_75"
"NMC",9,0,1,3,16,"conclusion_10_75"
"Rec",34,0,3,1,40,"conclusion_10_75"
"SO",15,6,9,2,32,"conclusion_10_75"
"LCO",6,0,0,6,13,"conclusion_10_150"
"LFP",5,2,7,2,17,"conclusion_10_150"
"NMC",5,0,1,7,16,"conclusion_10_150"
"Rec",24,1,2,11,40,"conclusion_10_150"
"SO",7,13,2,10,32,"conclusion_10_150"
"LCO",11,0,0,1,13,"conclusion_40_60"
"LFP",7,0,9,0,17,"conclusion_40_60"
"NMC",9,0,1,3,16,"conclusion_40_60"
"Rec",35,0,3,0,40,"conclusion_40_60"
"SO",16,1,14,1,32,"conclusion_40_60"
"LCO",11,0,0,1,13,"conclusion_40_75"
"LFP",7,0,9,0,17,"conclusion_40_75"
"NMC",9,0,1,3,16,"conclusion_40_75"
"Rec",35,0,3,0,40,"conclusion_40_75"
"SO",14,0,15,3,32,"conclusion_40_75"
"LCO",11,0,0,1,13,"conclusion_40_100"
"LFP",7,0,9,0,17,"conclusion_40_100"
"NMC",6,0,1,6,16,"conclusion_40_100"
"Rec",35,1,2,0,40,"conclusion_40_100"
"SO",13,5,10,4,32,"conclusion_40_100"
"LCO",11,0,0,1,13,"conclusion_40_125"
"LFP",7,0,9,0,17,"conclusion_40_125"
"NMC",6,0,1,6,16,"conclusion_40_125"
"Rec",35,1,2,0,40,"conclusion_40_125"
"SO",11,6,9,6,32,"conclusion_40_125"
"LCO",10,0,0,2,13,"conclusion_40_150"
"LFP",6,1,8,1,17,"conclusion_40_150"
"NMC",6,0,1,6,16,"conclusion_40_150"
"Rec",27,2,1,8,40,"conclusion_40_150"
"SO",10,8,7,7,32,"conclusion_40_150"
"LCO",11,0,0,1,13,"conclusion_30_75"
"LFP",7,0,9,0,17,"conclusion_30_75"
"NMC",9,0,1,3,16,"conclusion_30_75"
"Rec",35,0,3,0,40,"conclusion_30_75"
"SO",14,1,14,3,32,"conclusion_30_75"
"LCO",11,0,0,1,13,"conclusion_30_100"
"LFP",7,0,9,0,17,"conclusion_30_100"
"NMC",6,0,1,6,16,"conclusion_30_100"
"Rec",35,1,2,0,40,"conclusion_30_100"
"SO",12,6,9,5,32,"conclusion_30_100"
"LCO",10,0,0,2,13,"conclusion_30_125"
"LFP",7,0,9,0,17,"conclusion_30_125"
"NMC",6,0,1,6,16,"conclusion_30_125"
"Rec",32,1,2,3,40,"conclusion_30_125"
"SO",11,8,7,6,32,"conclusion_30_125"
"LCO",8,0,0,4,13,"conclusion_30_150"
"LFP",5,0,9,2,17,"conclusion_30_150"
"NMC",5,0,1,7,16,"conclusion_30_150"
"Rec",26,1,2,9,40,"conclusion_30_150"
"SO",9,9,6,8,32,"conclusion_30_150"
